Term,Category,x,y
 'Hotel' equivalent range body soap,Bathroom/Bedroom,-5.1882305,53.730064
 2 plate electric stove on top of 'mini kitchen' electric stove,Kitchen/Dining,64.54187,-28.20251
 Charlotte Rhys body soap,Bathroom/Bedroom,5.7218566,39.15676
 standard shampoo,Bathroom/Bedroom,38.95524,52.45738
. stainless steel stove,Kitchen/Dining,56.058155,-12.3144
1 inch HDTV with Chromecast,Entertainment/Tech,-80.18674,12.059945
1 inch HDTV with Netflix,Entertainment/Tech,-35.681854,-22.950815
10 inch TV,Entertainment/Tech,-21.086452,-0.14971955
100 inch HDTV with HBO Max,Entertainment/Tech,-33.18636,-11.603327
100 inch HDTV with Netflix,Entertainment/Tech,-34.630913,-20.996948
100% Organic from Nature's Choice and Simply Bee.  body soap,Bathroom/Bedroom,7.616237,81.53314
104 inch HDTV,Entertainment/Tech,-22.54974,-4.5153713
"105 inch HDTV with Amazon Prime Video, Chromecast, Netflix, Disney+",Entertainment/Tech,-71.89384,-3.1386154
"11 inch HDTV with Amazon Prime Video, Netflix",Entertainment/Tech,-69.23187,-20.009117
110 inch TV with Apple TV,Entertainment/Tech,-50.189213,3.6861672
"117 inch HDTV with Netflix, standard cable",Entertainment/Tech,-41.520542,-9.486633
14 inch HDTV with premium cable,Entertainment/Tech,-33.730515,15.7039795
"143 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-82.40668,6.172806
"15 inch TV with Chromecast, Netflix",Entertainment/Tech,-83.65086,7.0397644
15 inch TV with premium cable,Entertainment/Tech,-33.770016,15.698526
155 inch HDTV with Netflix,Entertainment/Tech,-36.401524,-21.726357
17 inch HDTV,Entertainment/Tech,-21.511883,-2.7334661
"18 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-50.200844,-0.5438803
"188 inch HDTV with Amazon Prime Video, Fire TV, Netflix",Entertainment/Tech,-66.00967,-15.311849
2 PLATE GAS SNAPPY CHEF gas stove,Kitchen/Dining,64.353424,-24.645218
2 Plate  stainless steel gas stove,Kitchen/Dining,64.22222,-25.93927
2 Plates stove,Kitchen/Dining,65.13424,-26.473633
2 Samsung Fridge Freezers and one drinks fridge refrigerator,Kitchen/Dining,-8.557809,11.427996
2 Sony Home Theater  sound system with Bluetooth and aux,Entertainment/Tech,-42.409176,51.38485
2 hot plates and a Convection Microwave  electric stove,Kitchen/Dining,26.768465,-12.107338
"2 ovens - Electric smeg with gas hob, Bosch gas oven oven",Kitchen/Dining,50.781433,-1.1863759
2 pate electric stove induction stove,Kitchen/Dining,71.816246,-20.430695
2 pate glass top electric stove,Kitchen/Dining,67.24817,-24.98974
2 pit stove electric stove,Kitchen/Dining,65.992424,-26.03392
2 plate cooker TV oven oven,Entertainment/Tech,29.03225,-15.398532
2 plate electric  electric stove,Kitchen/Dining,65.20953,-27.313747
2 plate electric stove,Kitchen/Dining,65.22702,-27.138243
2 plate gas counter top.  gas stove,Kitchen/Dining,64.17803,-25.266754
2 plate gas stove  stove,Kitchen/Dining,64.61771,-25.901976
2 plate glass top electric stove,Kitchen/Dining,67.09748,-25.297367
2 plate induction counter top stove,Kitchen/Dining,72.71676,-21.061258
2 plate stainless steel stove,Kitchen/Dining,64.32523,-26.277319
2 plate stove electric stove,Kitchen/Dining,65.119995,-27.219385
2 plated Ceran electric stove,Kitchen/Dining,62.319004,-26.47216
2 plates electric stove,Kitchen/Dining,65.339386,-27.080843
2 x Miele fridges refrigerator,Kitchen/Dining,8.79587,10.571966
2 x miele ovens oven,Kitchen/Dining,53.554996,-2.7500868
2-in-1 Shampoo & Conditioner  conditioner,Bathroom/Bedroom,46.02786,36.91731
20 inch HDTV,Entertainment/Tech,-21.22729,-1.0103098
"20 inch HDTV with Amazon Prime Video, Chromecast, Netflix",Entertainment/Tech,-77.07384,-3.893439
20 inch TV,Entertainment/Tech,-21.270737,-0.29768813
20 inch TV with DVD player,Entertainment/Tech,-30.471857,3.3898835
20 inch TV with Netflix,Entertainment/Tech,-37.889885,-25.107527
"21 inch TV with Apple TV, Netflix",Entertainment/Tech,-49.551426,-0.87559646
"22 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Fire TV, HBO Max, Hulu",Entertainment/Tech,-76.72961,-8.47662
22 inch TV,Entertainment/Tech,-21.985016,0.34380493
22 inch TV with Netflix,Entertainment/Tech,-37.905163,-25.314228
"22 inch TV with Netflix, premium cable",Entertainment/Tech,-37.7871,-25.574625
23 inch HDTV with premium cable,Entertainment/Tech,-24.68515,13.654681
23 inch HDTV with standard cable,Entertainment/Tech,-24.49189,13.532762
"24 inch HDTV with Amazon Prime Video, Netflix, DVD player",Entertainment/Tech,-73.56706,-21.18917
24 inch HDTV with Netflix,Entertainment/Tech,-38.69475,-23.919088
"24 inch TV with Amazon Prime Video, Netflix",Entertainment/Tech,-73.564026,-21.155188
24 inch TV with Chromecast,Entertainment/Tech,-82.854256,10.736865
"24 inch TV with DVD player, Chromecast, premium cable",Entertainment/Tech,-77.01735,7.912923
25 inch HDTV,Entertainment/Tech,-21.763496,-1.815342
25 inch HDTV with Netflix,Entertainment/Tech,-38.51755,-23.651102
25 inch HDTV with standard cable,Entertainment/Tech,-23.755743,12.985878
250 inch HDTV with Netflix,Entertainment/Tech,-37.08863,-22.522501
26 inch HDTV,Entertainment/Tech,-21.810318,-1.8037728
"26 inch HDTV with Netflix, premium cable",Entertainment/Tech,-43.01695,-15.892844
"26 inch HDTV with Netflix, standard cable",Entertainment/Tech,-43.007004,-15.880709
26 inch HDTV with standard cable,Entertainment/Tech,-23.511162,12.530631
26 inch TV with Chromecast,Entertainment/Tech,-82.929886,10.580658
"26 inch TV with Netflix, DVD player",Entertainment/Tech,-39.051426,-25.09139
26 inch TV with standard cable,Entertainment/Tech,-23.17136,12.414073
27 inch HDTV with standard cable,Entertainment/Tech,-23.803617,12.072833
"27 inch HDTV with standard cable, DVD player",Entertainment/Tech,-28.978662,6.7994595
27 inch TV,Entertainment/Tech,-23.087591,0.3478189
27 inch TV with Chromecast,Entertainment/Tech,-82.91751,10.415104
28 inch HDTV,Entertainment/Tech,-22.399374,-1.4804026
"28 inch HDTV with Apple TV, Netflix",Entertainment/Tech,-49.285675,-1.6235236
28 inch HDTV with Netflix,Entertainment/Tech,-39.436184,-24.129955
28 inch HDTV with standard cable,Entertainment/Tech,-24.054426,12.0211935
28 inch TV,Entertainment/Tech,-23.030918,0.17581551
28 inch TV with Apple TV,Entertainment/Tech,-48.545197,1.9683787
28 inch TV with Chromecast,Entertainment/Tech,-82.7807,10.431759
28 inch TV with Netflix,Entertainment/Tech,-39.464977,-24.269983
"28 inch TV with Netflix, standard cable, Amazon Prime Video",Entertainment/Tech,-55.463223,-17.702269
28 inch TV with premium cable,Entertainment/Tech,-25.034363,11.735575
29 inch HDTV with Netflix,Entertainment/Tech,-39.878086,-24.533684
29 inch TV with Chromecast,Entertainment/Tech,-83.00483,10.352624
29 inch TV with standard cable,Entertainment/Tech,-23.01744,11.633486
3 inch HDTV with Netflix,Entertainment/Tech,-35.685585,-22.968319
30 inch HDTV,Entertainment/Tech,-22.492666,-1.0568483
"30 inch HDTV with Chromecast, Netflix",Entertainment/Tech,-83.18633,7.582258
